"Day","Shift","Run","MfgPlate","Mean450","SD450","CV450","Median450","Range450","RelRange450","Mean650","SD650","CV650","Median650","Rang650","RelRange650"
1,"Evening",6,390,0.460166666666667,0.0381883604936502,8.2988106831547,0.46,0.201,43.6798261499457,0.0375729166666667,0.00162703988025181,4.33035288339822,0.0375,0.008,21.2919323537566
1,"Evening",7,7,0.555916666666667,0.0785131121019274,14.1231801112746,0.555,0.466,83.8255134162794,0.0387916666666667,0.00197839204601093,5.10004394245566,0.039,0.011,28.3566058002148
1,"Evening",8,193,0.448270833333333,0.0296173772486309,6.60702750352876,0.4505,0.158,35.2465492401357,0.03659375,0.0013885101822874,3.79439161684003,0.037,0.007,19.1289496157131
1,"Evening",9,567,0.384822916666667,0.0402549754470875,10.4606492242655,0.382,0.22,57.169152478142,0.0358125,0.00168780455341438,4.71289229574696,0.036,0.007,19.5462478184991
1,"Evening",10,587,0.541770833333333,0.0368411895249602,6.80014265409763,0.541,0.204,37.6542972505287,0.0380833333333333,0.00149149636389392,3.91640183079365,0.038,0.007,18.3807439824945
1,"Evening",11,317,0.535125,0.0327887175717502,6.12730064410188,0.533,0.174,32.5157673440785,0.0378125,0.00130030360827163,3.43881945989191,0.038,0.006,15.8677685950413
1,"Evening",12,160,0.497125,0.0378415672313703,7.61208292308178,0.501,0.188,37.8174503394518,0.03703125,0.00135687818946751,3.66414363400509,0.037,0.005,13.5021097046413
1,"Evening",13,26,0.58065625,0.0481449189809705,8.29146659163153,0.5805,0.341,58.7266562617728,0.0404270833333333,0.00517635269209725,12.8041705344328,0.039,0.033,81.6284462767328
1,"Evening",14,248,0.436083333333333,0.0319574278217515,7.3282846141987,0.4335,0.18,41.2765144276706,0.0366458333333333,0.00148663637763181,4.05676782980825,0.037,0.006,16.3729391699829
1,"Evening",15,351,0.43890625,0.0475372603167353,10.8308460671807,0.43,0.254,57.8711285154859,0.0377291666666667,0.00311694576102841,8.26136921752422,0.037,0.028,74.2131419105467
1,"Evening",16,35,0.632354166666667,0.0667021626993603,10.5482285427117,0.625,0.465,73.5347412117418,0.0388125,0.00173698165308615,4.47531504820908,0.039,0.011,28.341384863124
1,"Evening",17,75,0.531333333333333,0.0415278388976452,7.81577896442506,0.534,0.242,45.5457967377666,0.0377083333333333,0.00155540934985426,4.12484247475162,0.038,0.007,18.5635359116022
1,"Evening",18,96,0.494427083333333,0.0332960388956457,6.73426679444219,0.496,0.194,39.2373327715158,0.0371145833333333,0.00164713334178324,4.43796802725769,0.037,0.00899999999999999,24.2492281785012
1,"Evening",19,243,0.47946875,0.0450716279352859,9.40032649370493,0.4765,0.241,50.2639640226813,0.03728125,0.00122003559050761,3.27251792927441,0.037,0.005,13.4115674769489
1,"Evening",20,296,0.4844375,0.0501158263688386,10.3451583266858,0.4725,0.235,48.509869694233,0.037375,0.00179619480833057,4.80587239687108,0.037,0.00899999999999999,24.0802675585284
1,"Evening",21,596,0.60965625,0.0384044482415363,6.29936103198095,0.6105,0.202,33.1334255984417,0.03875,0.00146539019413009,3.78165211388411,0.039,0.00600000000000001,15.483870967742
1,"Evening",22,105,0.718020833333333,0.0688085030190259,9.58307890588494,0.706,0.338,47.07384302916,0.0409375,0.00162099709405889,3.95968755800645,0.041,0.007,17.0992366412214
1,"Evening",23,440,0.53571875,0.0509575061616101,9.51198855026262,0.5275,0.273,50.9595753368722,0.03809375,0.00232640732732503,6.10705779117317,0.038,0.021,55.1271534044299
1,"Evening",24,94,0.538708333333333,0.0480324269123237,8.91622125373787,0.54,0.377,69.9822105344574,0.0377083333333333,0.00128895442462949,3.41822167857543,0.038,0.006,15.9116022099447
1,"Evening",25,451,0.574947916666667,0.0668267784006046,11.6231012346373,0.5565,0.421,73.2240239152097,0.03915625,0.00208416650006663,5.32269177989883,0.039,0.01,25.5387071029529
1,"Evening",26,145,0.50303125,0.0522414340749804,10.3853257774702,0.4955,0.256,50.8914704603342,0.0378333333333333,0.0015263762843426,4.03447476037691,0.038,0.007,18.5022026431718
1,"Evening",27,315,0.65546875,0.0461272731575081,7.0372955472718,0.6535,0.297,45.311084624553,0.0390416666666667,0.00150029236916758,3.84279795731289,0.039,0.00899999999999999,23.0522945570971
1,"Evening",28,509,0.684791666666667,0.0500290266622481,7.30572947912354,0.6885,0.213,31.1043504715546,0.0405,0.00142902248518275,3.52845058069816,0.041,0.006,14.8148148148148
1,"Evening",29,566,0.484302083333333,0.0784957417271679,16.2080124014542,0.474,0.529,109.229346353214,0.038,0.00291637843187312,7.67468008387664,0.038,0.026,68.4210526315789
1,"Evening",30,353,0.5961875,0.0465928190762663,7.81512847489528,0.595,0.293,49.1456127476675,0.0383541666666667,0.00153540097054511,4.00321817415348,0.038,0.007,18.2509505703422
1,"Evening",31,371,0.420708333333333,0.0333961600902249,7.9380790548222,0.413,0.166,39.45726453402,0.0358229166666667,0.00141417479502259,3.94768189363678,0.036,0.007,19.540564117476
2,"Day",1,43,0.49234375,0.0469068120123069,9.52724839348663,0.4945,0.304,61.7454776261504,0.0370104166666667,0.00178587906507908,4.82534169005323,0.037,0.01,27.0194202082747
2,"Day",2,9,0.636708333333333,0.0612258831861969,9.61600154746892,0.637,0.416,65.3360382173942,0.039625,0.00161734024672739,4.08161576461171,0.04,0.007,17.6656151419558
2,"Day",3,18,0.64603125,0.0476810572836238,7.38061158552683,0.65,0.286,44.2703042615973,0.0395520833333333,0.00159518876405975,4.03313461547895,0.04,0.007,17.6981827758757
2,"Day",4,60,0.53128125,0.0521093391215453,9.80823982053673,0.53,0.347,65.31380507029,0.0382916666666667,0.00160208197875972,4.18389200111353,0.038,0.00799999999999999,20.892274211099
2,"Day",5,67,0.527583333333333,0.0376889392309054,7.14369405735057,0.529,0.23,43.5950086874112,0.0383958333333333,0.0016637254749929,4.33308859466409,0.038,0.00799999999999999,20.8355941399891
2,"Day",6,84,0.51321875,0.0467907330287571,9.11711293259592,0.5125,0.325,63.3258235401571,0.0374375,0.0014854558045827,3.96782852643124,0.037,0.007,18.6978297161937
2,"Day",7,397,0.40596875,0.0338732787482684,8.34381433257325,0.405,0.172,42.3677930875221,0.0356875,0.00235444708002358,6.59739987397151,0.035,0.021,58.8441330998249
2,"Day",8,272,0.44128125,0.0540525481409185,12.2490017740202,0.4445,0.331,75.0088520643014,0.0367708333333333,0.00149721964543171,4.07175880910608,0.037,0.007,19.0368271954674
2,"Day",9,476,0.616239583333333,0.0408738096022809,6.63277898852071,0.6165,0.21,34.0776551327778,0.0394791666666667,0.00188612198448321,4.77751215066987,0.039,0.00899999999999999,22.7968337730871
2,"Day",10,441,0.433729166666667,0.0354627986447671,8.17625407055489,0.43,0.165,38.0421730150344,0.03684375,0.00250190716727944,6.7905877313776,0.0365,0.016,43.4266327396098
2,"Day",11,407,0.45565625,0.0393344172650231,8.6324761846289,0.45,0.222,48.720938207256,0.03684375,0.00119936935182839,3.25528577256222,0.037,0.005,13.5708227311281
2,"Day",12,370,0.411510416666667,0.0340559894389616,8.27585112299789,0.4165,0.152,36.9370965700544,0.03703125,0.00282639113395603,7.63244863178,0.036,0.014,37.8059071729958
2,"Day",13,261,0.47428125,0.0409735994911743,8.6390932576766,0.4645,0.235,49.5486591553008,0.036875,0.00156440673133704,4.24245893243942,0.037,0.007,18.9830508474576
2,"Day",14,463,0.542395833333333,0.0432932422505107,7.98185376617827,0.538,0.207,38.1640099865566,0.0381145833333333,0.00167878271479926,4.40456793169524,0.038,0.007,18.3656736813337
2,"Evening",2,69,0.5285625,0.0318703995648165,6.02963690477785,0.526,0.184,34.8113988411966,0.0381354166666667,0.00186163364402382,4.88163971117964,0.038,0.01,26.2223436219612
2,"Evening",3,366,0.447729166666667,0.0401723862128588,8.9724747020484,0.447,0.181,40.4262249313666,0.0365208333333333,0.00138396202158621,3.78951380696737,0.036,0.006,16.4289788933257
2,"Evening",4,538,0.38621875,0.0344729346543663,8.92575377408951,0.3865,0.167,43.2397443158832,0.036375,0.00138602042971197,3.81036544250712,0.036,0.006,16.4948453608247
2,"Evening",5,578,0.598260416666667,0.0415966205083935,6.95292874968358,0.5895,0.212,35.4360733376282,0.0389270833333333,0.00183672931086851,4.71838410070583,0.039,0.00799999999999999,20.5512443136205
2,"Evening",6,402,0.699989583333333,0.0663944345783775,9.48506037221424,0.698,0.388,55.4293962707778,0.0411145833333333,0.0041646881267368,10.1294669411384,0.0405,0.039,94.8568533063086
2,"Evening",7,299,0.38159375,0.0458428845709939,12.0135312936844,0.371,0.239,62.6320530669069,0.0359270833333333,0.00168113239822177,4.67928994576079,0.036,0.008,22.267323861989
2,"Evening",8,396,0.452104166666667,0.0311121838265356,6.88164058648775,0.455,0.155,34.2841343716879,0.0364479166666667,0.00128037652082804,3.51289356957679,0.037,0.005,13.7182052014861
2,"Evening",9,252,0.541,0.0457388467854531,8.45450033002831,0.537,0.242,44.731977818854,0.0403229166666667,0.00931382084710297,23.0980832167886,0.039,0.088,218.238181348489
2,"Evening",10,178,0.512541666666667,0.0441423335816661,8.6124380616209,0.5135,0.259,50.5324770343874,0.0380729166666667,0.00157777185774361,4.14407929804067,0.038,0.007,18.3857729138167
2,"Evening",11,239,0.506697916666667,0.0408295867418319,8.05797407071081,0.507,0.206,40.6553872088481,0.0377916666666667,0.00172240142436851,4.55762229160355,0.038,0.014,37.045203969129
2,"Evening",12,377,0.548010416666667,0.0454207220948108,8.28829538881529,0.544,0.303,55.2909198045962,0.0398125,0.00297821034215269,7.4805911262862,0.04,0.02,50.2354788069074
2,"Evening",13,593,0.60234375,0.0481527893109117,7.99423739532646,0.5945,0.376,62.4228274967575,0.0388958333333333,0.00151121538167945,3.88528860849564,0.039,0.007,17.9967862881628
2,"Evening",14,201,0.4916875,0.0531174096744779,10.8030831929788,0.4845,0.241,49.0148722511758,0.0390520833333333,0.00461660570610205,11.8216630511015,0.038,0.025,64.0170712189917
2,"Evening",15,386,0.56240625,0.0385714860936636,6.85829613267342,0.567,0.217,38.584208479191,0.0388229166666667,0.00191390915291558,4.92984380681234,0.039,0.01,25.7579822913872
2,"Evening",16,342,0.500520833333333,0.0561075994790211,11.2098429760375,0.4915,0.406,81.1155046826223,0.0400833333333333,0.00295462765190531,7.37121243718581,0.039,0.015,37.4220374220374
2,"Evening",17,46,0.54315625,0.0388233050262068,7.14772315078889,0.543,0.237,43.6338530579368,0.0384791666666667,0.00169816722669605,4.41321206721227,0.038,0.00799999999999999,20.7904710341093
2,"Evening",18,36,0.642135416666667,0.0547883237256504,8.53220711762907,0.6425,0.368,57.3087841674102,0.0387291666666667,0.0014759772260878,3.81102242346499,0.039,0.00600000000000001,15.4922001075847
2,"Evening",19,173,0.4301875,0.029923872708838,6.95600702224912,0.4275,0.142,33.0088624146448,0.0362083333333333,0.00145758752859263,4.02555819174029,0.036,0.007,19.3325661680092
2,"Evening",20,543,0.434385416666667,0.0393843061962681,9.06667320889604,0.428,0.176,40.5170139804801,0.0367708333333333,0.00165102307463659,4.49003442394086,0.037,0.01,27.1954674220963
2,"Evening",21,550,0.431385416666667,0.0347597376865115,8.05769883347042,0.422,0.17,39.4079153888876,0.0365833333333333,0.00214557888970082,5.86490812674485,0.0365,0.019,51.9362186788155
2,"Evening",22,287,0.478583333333333,0.0504457325234213,10.5406371283485,0.4715,0.276,57.6702072087759,0.037,0.00140675064187689,3.80202876182944,0.037,0.007,18.9189189189189
2,"Evening",23,39,0.550729166666667,0.0603110322746601,10.9511236965526,0.5505,0.397,72.0862492907131,0.037625,0.00163674902426152,4.35016351963196,0.038,0.007,18.6046511627907
2,"Evening",24,453,0.54278125,0.0480112274424047,8.84541008784012,0.5405,0.245,45.1378893430825,0.03775,0.00173508683234859,4.5962565095327,0.038,0.008,21.1920529801325
2,"Evening",25,458,0.556239583333333,0.0547104810110105,9.83577628243414,0.5565,0.21,37.7535159834454,0.03834375,0.00160150011913173,4.17669142723842,0.038,0.008,20.8638956805216
2,"Evening",26,163,0.519104166666667,0.0462215441147402,8.90409807564125,0.514,0.277,53.3611590480395,0.037375,0.00153039382616302,4.09469920043618,0.037,0.007,18.7290969899666
2,"Evening",27,54,0.576572916666667,0.0520572043230313,9.02872868604181,0.571,0.344,59.662878719445,0.0384479166666667,0.00159518876405975,4.14896020996303,0.038,0.00899999999999999,23.4082904361961
2,"Evening",28,258,0.514020833333333,0.0450256018789466,8.75948968584865,0.51,0.29,56.4179467434037,0.03690625,0.00166118616466795,4.50109714389283,0.037,0.008,21.6765453005927
2,"Evening",29,20,0.637354166666667,0.0603198455894064,9.46410155359561,0.633,0.322,50.5213610956755,0.0395729166666667,0.00205577385437963,5.1949010271241,0.04,0.014,35.3777309818373
2,"Evening",30,217,0.665052083333333,0.0525211475786893,7.89729840638134,0.671,0.343,51.5749079802647,0.0392083333333333,0.00169156835770002,4.31430824493097,0.039,0.007,17.8533475026567
2,"Evening",31,318,0.512510416666667,0.0400010512471509,7.80492453349828,0.5045,0.226,44.096664701937,0.0371979166666667,0.00146265649934895,3.93209252135253,0.037,0.007,18.8182581909829
3,"Day",1,474,0.6125,0.0343961442147533,5.6156970146536,0.609,0.153,24.9795918367347,0.0382916666666667,0.00163460387389771,4.26882404499946,0.038,0.007,18.2807399347116
3,"Day",2,498,0.54915625,0.0425941256451366,7.75628532774353,0.544,0.177,32.2312638707107,0.0379479166666667,0.00165032559254334,4.34892278024047,0.038,0.009,23.7167169914905
3,"Day",3,553,0.53640625,0.0462425136188494,8.62080067464714,0.534,0.203,37.8444509175648,0.0385104166666667,0.00251310163434776,6.52577108188762,0.038,0.014,36.3538003786854
3,"Day",4,434,0.500947916666667,0.0409598956083339,8.17647788234817,0.496,0.222,44.3159842798029,0.0373645833333333,0.00148053896066098,3.96241260728893,0.037,0.007,18.7343183718985
3,"Day",5,292,0.506916666666667,0.0481002607863959,9.48879055460712,0.4995,0.24,47.3450600032878,0.0369479166666667,0.00153807666407153,4.16282378773236,0.037,0.006,16.2390752748802
3,"Day",6,520,0.643854166666667,0.0421783130022918,6.55091093386186,0.644,0.214,33.2373402362077,0.0396875,0.00179656104236605,4.52676798076484,0.04,0.008,20.1574803149606
3,"Day",7,505,0.572947916666667,0.0383741606571447,6.69766998724777,0.577,0.164,28.6238932421868,0.03871875,0.00158747150823997,4.10000712378362,0.039,0.007,18.0790960451977
3,"Day",8,413,0.457802083333333,0.0374440269403382,8.17908618233058,0.4575,0.251,54.8271860565656,0.03621875,0.00163644753240542,4.51823304891919,0.036,0.006,16.5660051768766
3,"Day",9,41,0.477322916666667,0.0453002834408855,9.49048995117082,0.48,0.306,64.1075442463392,0.0385104166666667,0.00150084040784641,3.89723232765093,0.0385,0.008,20.7736002163917
3,"Day",13,456,0.533604166666667,0.0373443377422001,6.9985093961098,0.5345,0.169,31.6714168586265,0.0378958333333333,0.00192752454645667,5.08637593347554,0.038,0.00899999999999999,23.7493128092358
3,"Day",14,519,0.5716875,0.0480320753575972,8.40180611918175,0.574,0.231,40.4066907182683,0.0386145833333333,0.00174337719243075,4.51481549698818,0.039,0.00899999999999999,23.3072565416779
4,"Day",1,588,0.641,0.0381241738478219,5.9476090246212,0.637,0.189,29.4851794071763,0.0396666666666667,0.00155371654033781,3.91693245463314,0.04,0.008,20.1680672268908
4,"Day",2,405,0.504197916666667,0.0399514494280684,7.92376328966091,0.5055,0.183,36.2952709542797,0.039,0.0031153271349723,7.98801829480078,0.038,0.024,61.5384615384615
4,"Day",3,585,0.646947916666667,0.0439759191978774,6.79744351360754,0.638,0.202,31.2235335791457,0.039375,0.00150961828566729,3.83395120169471,0.039,0.007,17.7777777777778
4,"Day",4,490,0.499239583333333,0.037185946635698,7.44851728050371,0.5,0.196,39.25970747178,0.0371770833333333,0.00147251872772769,3.9608237002482,0.037,0.006,16.1389745026618
4,"Day",5,493,0.525104166666667,0.03874952744477,7.37939820412204,0.528,0.204,38.8494346359849,0.03765625,0.00147846381868407,3.92621097077928,0.038,0.007,18.5892116182573
4,"Day",6,528,0.494770833333333,0.0452656438015845,9.14881006558617,0.487,0.238,48.1030780243379,0.0378333333333333,0.0025450330022332,6.72695947726837,0.038,0.022,58.1497797356828
4,"Day",7,151,0.44671875,0.0446953908197066,10.005264121935,0.4395,0.252,56.411332633788,0.0370208333333333,0.00189169468253464,5.10981118523706,0.037,0.008,21.6094541361846
4,"Day",8,22,0.672916666666667,0.0431200690036228,6.40793595100277,0.6745,0.256,38.0433436532508,0.03984375,0.00144606999175442,3.62935213616796,0.04,0.007,17.5686274509804
4,"Day",9,583,0.64509375,0.0536954527379819,8.32366655823,0.639,0.269,41.6993654023156,0.03965625,0.00152058247149952,3.83440812356064,0.04,0.007,17.6516942474389
4,"Day",10,116,0.604375,0.0449229164352965,7.43295411545754,0.603,0.24,39.7104446742503,0.0394479166666667,0.0033241375348919,8.42664915103307,0.039,0.028,70.9796672828096
4,"Day",11,464,0.582822916666667,0.0410419540910765,7.04192524305794,0.583,0.24,41.1788886704438,0.0382083333333333,0.00156888607259161,4.10613584974904,0.038,0.007,18.3206106870229
4,"Day",12,170,0.491302083333333,0.0534744641058095,10.8842331265933,0.491,0.27,54.9560055125623,0.0372708333333333,0.00138775977495475,3.72344713235483,0.037,0.006,16.0983789826719
4,"Day",13,230,0.512645833333333,0.0427290063359323,8.3349953432956,0.5095,0.226,44.0850164587312,0.0379479166666667,0.00134844777559562,3.55341714128958,0.038,0.006,15.8111446609937
4,"Day",14,542,0.461447916666667,0.0430531788157431,9.33001911174369,0.459,0.193,41.8248718932707,0.0368645833333333,0.00174488601145819,4.733231339361,0.037,0.008,21.7010454930771
4,"Evening",2,574,0.424479166666667,0.0555070368543564,13.0765043877748,0.4135,0.276,65.0208588957055,0.0373541666666667,0.00238406625952899,6.38233019840444,0.037,0.016,42.8332403792527
4,"Evening",3,45,0.553145833333333,0.047888462332397,8.65747501772082,0.559,0.337,60.9242589732967,0.0376979166666667,0.00169903868588692,4.50698297444444,0.0375,0.007,18.568665377176
4,"Evening",4,92,0.479791666666667,0.03441264047645,7.1724131257907,0.481,0.229,47.7290490664351,0.0367708333333333,0.0014471690452791,3.93564386251541,0.037,0.007,19.0368271954674
4,"Evening",5,16,0.662885416666667,0.0522552177785886,7.88299402351541,0.668,0.299,45.1058346559392,0.03984375,0.00180833232274206,4.53855955511732,0.04,0.008,20.078431372549
4,"Evening",6,125,0.5545,0.0475529621635321,8.57582726123212,0.555,0.258,46.5284039675383,0.0384583333333333,0.00156888607259161,4.07944374238339,0.038,0.01,26.0021668472373
4,"Evening",7,42,0.491083333333333,0.0474713579388815,9.66666036427248,0.4915,0.331,67.4020023757,0.037375,0.00193172952231114,5.16850708310673,0.037,0.009,24.0802675585284
4,"Evening",8,191,0.4868125,0.0528559736204757,10.8575629468174,0.485,0.426,87.5080241366029,0.037625,0.00153725661317063,4.08573186224753,0.038,0.008,21.2624584717608
4,"Evening",9,522,0.6251875,0.0499132536981596,7.98372547406331,0.622,0.247,39.5081475557333,0.0393229166666667,0.0015927122954697,4.05034120172427,0.039,0.007,17.8013245033113
4,"Evening",10,5,0.552979166666667,0.0732537017806022,13.2470997455785,0.541,0.337,60.9426214067739,0.0382291666666667,0.00219319121813358,5.73695795479083,0.038,0.011,28.7738419618528
4,"Evening",11,480,0.509052083333333,0.0386077084726454,7.58423543222484,0.5045,0.189,37.1278315496532,0.0373229166666667,0.00159930769013323,4.28505549128636,0.038,0.008,21.4345520513536
4,"Evening",12,95,0.476177083333333,0.0406271868507224,8.53194919972294,0.474,0.215,45.1512698794654,0.0373645833333333,0.0015432009908776,4.13011695356147,0.038,0.008,21.410649567884
4,"Evening",13,346,0.424291666666667,0.0302724181103131,7.13481326374855,0.4235,0.158,37.2385348129235,0.0374791666666667,0.00202603666339075,5.40576763995308,0.037,0.011,29.3496386881601
4,"Evening",14,577,0.6568125,0.0565643206307744,8.61194338274232,0.661,0.335,51.0039014178323,0.0397604166666667,0.00185667950167223,4.66966812052747,0.04,0.008,20.1205134922714
4,"Evening",15,266,0.474677083333333,0.0407819606125491,8.59151664246465,0.473,0.279,58.7768000175558,0.0371354166666667,0.00181002932030143,4.8741322510221,0.037,0.00899999999999999,24.2356241234221
4,"Evening",16,128,0.49153125,0.0349489712596131,7.11022366525284,0.488,0.208,42.3167397800242,0.0369270833333333,0.00165589722327054,4.48423507571148,0.037,0.007,18.9562764456982
4,"Evening",17,401,0.47153125,0.0492326278471589,10.4410106111014,0.474,0.262,55.5636556431838,0.0366875,0.00184854138800241,5.03861366406109,0.037,0.008,21.8057921635434
4,"Evening",18,481,0.494135416666667,0.0426072936162137,8.62259457207774,0.493,0.188,38.0462508168729,0.0386979166666667,0.00346446560523042,8.9525894509319,0.038,0.025,64.6029609690444
4,"Evening",19,206,0.586625,0.0461709067658298,7.87059991746513,0.587,0.274,46.7078627743448,0.03859375,0.00172033121046042,4.45753835908773,0.039,0.00799999999999999,20.7287449392712
4,"Evening",20,71,0.517135416666667,0.0430457821863547,8.32388979734122,0.5245,0.196,37.9010977943398,0.0374479166666667,0.00197814262519517,5.28238364447111,0.037,0.01,26.7037552155772
4,"Evening",21,561,0.474395833333333,0.0678004004283575,14.2919468647014,0.4665,0.394,83.0530060164244,0.0373958333333333,0.00394295952611251,10.5438472007466,0.037,0.037,98.941504178273
4,"Evening",22,21,0.593072916666667,0.0559930907000172,9.44118153543804,0.589,0.313,52.7759726003337,0.038375,0.00179032487495838,4.66534169370262,0.039,0.008,20.8469055374593
4,"Evening",23,233,0.496479166666667,0.0421473553310704,8.48924953166623,0.4985,0.229,46.1247954345181,0.0368958333333333,0.00149017248501229,4.03886387806833,0.037,0.006,16.2619988706945
4,"Evening",24,216,0.628083333333333,0.0458187887608214,7.2950174489831,0.6295,0.209,33.275839193313,0.038875,0.00181369062527503,4.66544212289397,0.039,0.007,18.0064308681672
4,"Evening",25,241,0.403583333333333,0.0380771147366324,9.43475896839952,0.4005,0.192,47.5738178814784,0.03559375,0.00183863865543591,5.16562221017989,0.036,0.008,22.4758560140474
4,"Evening",26,471,0.525854166666667,0.0415752910339952,7.90623972755347,0.5235,0.192,36.5120240877937,0.0376354166666667,0.00171138473736862,4.54727192879566,0.0375,0.008,21.2565734846388
4,"Evening",27,367,0.39025,0.0362775847858528,9.29598585159584,0.392,0.186,47.6617552850737,0.0348333333333333,0.00156047676025574,4.47983758925092,0.035,0.006,17.2248803827751
4,"Evening",28,546,0.364458333333333,0.0295851729104352,8.11757345204579,0.3605,0.181,49.6627415113753,0.0355625,0.00226093832407325,6.35764730846608,0.035,0.021,59.0509666080843
4,"Evening",29,565,0.406020833333333,0.057270912827895,14.1054123646106,0.3995,0.358,88.1728154343476,0.0375833333333333,0.00165857685772546,4.41306480991253,0.038,0.007,18.6252771618625
5,"Day",1,472,0.595666666666667,0.0402357962297954,6.75475034635624,0.598,0.196,32.9043088975937,0.0393020833333333,0.0019900795628986,5.06354725783899,0.039,0.00899999999999999,22.8995494301617
5,"Day",2,331,0.562447916666667,0.0469799217564867,8.3527594936989,0.555,0.232,41.248263728123,0.0384791666666667,0.00156258333111123,4.06085543548127,0.038,0.00799999999999999,20.7904710341093
5,"Day",3,369,0.443770833333333,0.0370136473171626,8.34071203804424,0.4405,0.202,45.5189897187925,0.0368125,0.00249763045599961,6.78473468522815,0.037,0.017,46.1799660441426
5,"Day",4,446,0.412458333333333,0.0398206285251796,9.65446090114468,0.415,0.202,48.9746439034246,0.0365520833333333,0.00141324405957705,3.86638443201473,0.037,0.006,16.4149330293531
5,"Day",5,4,0.624052083333333,0.0725225728622572,11.6212372010494,0.6285,0.437,70.0262064130598,0.0392395833333333,0.00182811258242896,4.65884809963314,0.039,0.00899999999999999,22.9360233607645
5,"Day",6,316,0.556395833333333,0.0400726916245351,7.2021911782592,0.55,0.173,31.0929718800315,0.0378020833333333,0.00165191940460128,4.36991630867244,0.038,0.007,18.517497933315
5,"Day",7,76,0.49303125,0.0449016359155737,9.10725961398465,0.494,0.216,43.8106103822019,0.04034375,0.00580168419286023,14.3806269691346,0.039,0.035,86.7544539116964
5,"Day",8,573,0.3744375,0.0420147373893344,11.2207611121574,0.369,0.252,67.3009514271407,0.0355,0.00147255595908324,4.14804495516407,0.0355,0.007,19.7183098591549
