"MSAPlate","AssayStrip","AssayCol","AssayRow","MfgPlate","Pool","MfgStrip","MfgCol","MfgRow"
2,6,11,6,38,"A",5,9,6
2,6,11,7,38,"A",5,9,7
2,6,11,8,38,"A",5,9,8
2,6,12,1,38,"A",5,10,1
2,6,12,2,38,"A",5,10,2
2,6,12,3,38,"A",5,10,3
2,6,12,4,38,"A",5,10,4
2,6,12,5,38,"A",5,10,5
2,6,12,6,38,"A",5,10,6
2,6,12,7,38,"A",5,10,7
2,6,12,8,38,"A",5,10,8
3,1,1,1,139,"B",3,5,1
3,1,1,2,139,"B",3,5,2
3,1,1,3,139,"B",3,5,3
3,1,1,4,139,"B",3,5,4
3,1,1,5,139,"B",3,5,5
3,1,1,6,139,"B",3,5,6
3,1,1,7,139,"B",3,5,7
3,1,1,8,139,"B",3,5,8
3,1,2,1,139,"B",3,6,1
3,1,2,2,139,"B",3,6,2
3,1,2,3,139,"B",3,6,3
3,1,2,4,139,"B",3,6,4
3,1,2,5,139,"B",3,6,5
3,1,2,6,139,"B",3,6,6
3,1,2,7,139,"B",3,6,7
3,1,2,8,139,"B",3,6,8
3,2,3,1,50,"A",3,5,1
3,2,3,2,50,"A",3,5,2
3,2,3,3,50,"A",3,5,3
3,2,3,4,50,"A",3,5,4
3,2,3,5,50,"A",3,5,5
3,2,3,6,50,"A",3,5,6
3,2,3,7,50,"A",3,5,7
3,2,3,8,50,"A",3,5,8
3,2,4,1,50,"A",3,6,1
3,2,4,2,50,"A",3,6,2
3,2,4,3,50,"A",3,6,3
3,2,4,4,50,"A",3,6,4
3,2,4,5,50,"A",3,6,5
3,2,4,6,50,"A",3,6,6
3,2,4,7,50,"A",3,6,7
3,2,4,8,50,"A",3,6,8
3,3,5,1,94,"A",4,7,1
3,3,5,2,94,"A",4,7,2
3,3,5,3,94,"A",4,7,3
3,3,5,4,94,"A",4,7,4
3,3,5,5,94,"A",4,7,5
3,3,5,6,94,"A",4,7,6
3,3,5,7,94,"A",4,7,7
3,3,5,8,94,"A",4,7,8
3,3,6,1,94,"A",4,8,1
3,3,6,2,94,"A",4,8,2
3,3,6,3,94,"A",4,8,3
3,3,6,4,94,"A",4,8,4
3,3,6,5,94,"A",4,8,5
3,3,6,6,94,"A",4,8,6
3,3,6,7,94,"A",4,8,7
3,3,6,8,94,"A",4,8,8
3,4,7,1,139,"B",1,1,1
3,4,7,2,139,"B",1,1,2
3,4,7,3,139,"B",1,1,3
3,4,7,4,139,"B",1,1,4
3,4,7,5,139,"B",1,1,5
3,4,7,6,139,"B",1,1,6
3,4,7,7,139,"B",1,1,7
3,4,7,8,139,"B",1,1,8
3,4,8,1,139,"B",1,2,1
3,4,8,2,139,"B",1,2,2
3,4,8,3,139,"B",1,2,3
3,4,8,4,139,"B",1,2,4
3,4,8,5,139,"B",1,2,5
3,4,8,6,139,"B",1,2,6
3,4,8,7,139,"B",1,2,7
3,4,8,8,139,"B",1,2,8
3,5,9,1,295,"B",2,3,1
3,5,9,2,295,"B",2,3,2
3,5,9,3,295,"B",2,3,3
3,5,9,4,295,"B",2,3,4
3,5,9,5,295,"B",2,3,5
3,5,9,6,295,"B",2,3,6
3,5,9,7,295,"B",2,3,7
3,5,9,8,295,"B",2,3,8
3,5,10,1,295,"B",2,4,1
3,5,10,2,295,"B",2,4,2
3,5,10,3,295,"B",2,4,3
3,5,10,4,295,"B",2,4,4
3,5,10,5,295,"B",2,4,5
3,5,10,6,295,"B",2,4,6
3,5,10,7,295,"B",2,4,7
3,5,10,8,295,"B",2,4,8
3,6,11,1,78,"A",2,3,1
3,6,11,2,78,"A",2,3,2
3,6,11,3,78,"A",2,3,3
3,6,11,4,78,"A",2,3,4
3,6,11,5,78,"A",2,3,5
3,6,11,6,78,"A",2,3,6
3,6,11,7,78,"A",2,3,7
3,6,11,8,78,"A",2,3,8
3,6,12,1,78,"A",2,4,1
3,6,12,2,78,"A",2,4,2
3,6,12,3,78,"A",2,4,3
3,6,12,4,78,"A",2,4,4
3,6,12,5,78,"A",2,4,5
3,6,12,6,78,"A",2,4,6
3,6,12,7,78,"A",2,4,7
3,6,12,8,78,"A",2,4,8
4,1,1,1,42,"A",2,3,1
4,1,1,2,42,"A",2,3,2
4,1,1,3,42,"A",2,3,3
4,1,1,4,42,"A",2,3,4
4,1,1,5,42,"A",2,3,5
4,1,1,6,42,"A",2,3,6
4,1,1,7,42,"A",2,3,7
4,1,1,8,42,"A",2,3,8
4,1,2,1,42,"A",2,4,1
4,1,2,2,42,"A",2,4,2
4,1,2,3,42,"A",2,4,3
4,1,2,4,42,"A",2,4,4
4,1,2,5,42,"A",2,4,5
4,1,2,6,42,"A",2,4,6
4,1,2,7,42,"A",2,4,7
4,1,2,8,42,"A",2,4,8
4,2,3,1,140,"B",4,7,1
4,2,3,2,140,"B",4,7,2
4,2,3,3,140,"B",4,7,3
4,2,3,4,140,"B",4,7,4
4,2,3,5,140,"B",4,7,5
4,2,3,6,140,"B",4,7,6
4,2,3,7,140,"B",4,7,7
4,2,3,8,140,"B",4,7,8
4,2,4,1,140,"B",4,8,1
4,2,4,2,140,"B",4,8,2
4,2,4,3,140,"B",4,8,3
4,2,4,4,140,"B",4,8,4
4,2,4,5,140,"B",4,8,5
4,2,4,6,140,"B",4,8,6
4,2,4,7,140,"B",4,8,7
4,2,4,8,140,"B",4,8,8
4,3,5,1,45,"A",2,3,1
4,3,5,2,45,"A",2,3,2
4,3,5,3,45,"A",2,3,3
4,3,5,4,45,"A",2,3,4
4,3,5,5,45,"A",2,3,5
4,3,5,6,45,"A",2,3,6
4,3,5,7,45,"A",2,3,7
4,3,5,8,45,"A",2,3,8
4,3,6,1,45,"A",2,4,1
4,3,6,2,45,"A",2,4,2
4,3,6,3,45,"A",2,4,3
4,3,6,4,45,"A",2,4,4
4,3,6,5,45,"A",2,4,5
4,3,6,6,45,"A",2,4,6
4,3,6,7,45,"A",2,4,7
4,3,6,8,45,"A",2,4,8
4,4,7,1,286,"B",2,3,1
4,4,7,2,286,"B",2,3,2
4,4,7,3,286,"B",2,3,3
4,4,7,4,286,"B",2,3,4
4,4,7,5,286,"B",2,3,5
4,4,7,6,286,"B",2,3,6
4,4,7,7,286,"B",2,3,7
4,4,7,8,286,"B",2,3,8
4,4,8,1,286,"B",2,4,1
4,4,8,2,286,"B",2,4,2
4,4,8,3,286,"B",2,4,3
4,4,8,4,286,"B",2,4,4
4,4,8,5,286,"B",2,4,5
4,4,8,6,286,"B",2,4,6
4,4,8,7,286,"B",2,4,7
4,4,8,8,286,"B",2,4,8
4,5,9,1,79,"A",2,3,1
4,5,9,2,79,"A",2,3,2
4,5,9,3,79,"A",2,3,3
4,5,9,4,79,"A",2,3,4
4,5,9,5,79,"A",2,3,5
4,5,9,6,79,"A",2,3,6
4,5,9,7,79,"A",2,3,7
4,5,9,8,79,"A",2,3,8
4,5,10,1,79,"A",2,4,1
4,5,10,2,79,"A",2,4,2
4,5,10,3,79,"A",2,4,3
4,5,10,4,79,"A",2,4,4
4,5,10,5,79,"A",2,4,5
4,5,10,6,79,"A",2,4,6
4,5,10,7,79,"A",2,4,7
4,5,10,8,79,"A",2,4,8
4,6,11,1,193,"B",3,5,1
4,6,11,2,193,"B",3,5,2
4,6,11,3,193,"B",3,5,3
4,6,11,4,193,"B",3,5,4
4,6,11,5,193,"B",3,5,5
4,6,11,6,193,"B",3,5,6
4,6,11,7,193,"B",3,5,7
4,6,11,8,193,"B",3,5,8
4,6,12,1,193,"B",3,6,1
4,6,12,2,193,"B",3,6,2
4,6,12,3,193,"B",3,6,3
4,6,12,4,193,"B",3,6,4
4,6,12,5,193,"B",3,6,5
4,6,12,6,193,"B",3,6,6
4,6,12,7,193,"B",3,6,7
4,6,12,8,193,"B",3,6,8
5,1,1,1,59,"A",3,5,1
5,1,1,2,59,"A",3,5,2
5,1,1,3,59,"A",3,5,3
5,1,1,4,59,"A",3,5,4
5,1,1,5,59,"A",3,5,5
5,1,1,6,59,"A",3,5,6
5,1,1,7,59,"A",3,5,7
5,1,1,8,59,"A",3,5,8
5,1,2,1,59,"A",3,6,1
5,1,2,2,59,"A",3,6,2
5,1,2,3,59,"A",3,6,3
5,1,2,4,59,"A",3,6,4
5,1,2,5,59,"A",3,6,5
5,1,2,6,59,"A",3,6,6
5,1,2,7,59,"A",3,6,7
5,1,2,8,59,"A",3,6,8
5,2,3,1,293,"B",4,7,1
5,2,3,2,293,"B",4,7,2
5,2,3,3,293,"B",4,7,3
5,2,3,4,293,"B",4,7,4
5,2,3,5,293,"B",4,7,5
5,2,3,6,293,"B",4,7,6
5,2,3,7,293,"B",4,7,7
5,2,3,8,293,"B",4,7,8
5,2,4,1,293,"B",4,8,1
5,2,4,2,293,"B",4,8,2
5,2,4,3,293,"B",4,8,3
5,2,4,4,293,"B",4,8,4
5,2,4,5,293,"B",4,8,5
5,2,4,6,293,"B",4,8,6
5,2,4,7,293,"B",4,8,7
5,2,4,8,293,"B",4,8,8
5,3,5,1,295,"B",3,5,1
5,3,5,2,295,"B",3,5,2
5,3,5,3,295,"B",3,5,3
5,3,5,4,295,"B",3,5,4
5,3,5,5,295,"B",3,5,5
5,3,5,6,295,"B",3,5,6
5,3,5,7,295,"B",3,5,7
5,3,5,8,295,"B",3,5,8
5,3,6,1,295,"B",3,6,1
5,3,6,2,295,"B",3,6,2
5,3,6,3,295,"B",3,6,3
5,3,6,4,295,"B",3,6,4
5,3,6,5,295,"B",3,6,5
5,3,6,6,295,"B",3,6,6
5,3,6,7,295,"B",3,6,7
5,3,6,8,295,"B",3,6,8
5,4,7,1,41,"A",3,5,1
5,4,7,2,41,"A",3,5,2
5,4,7,3,41,"A",3,5,3
5,4,7,4,41,"A",3,5,4
5,4,7,5,41,"A",3,5,5
5,4,7,6,41,"A",3,5,6
5,4,7,7,41,"A",3,5,7
5,4,7,8,41,"A",3,5,8
5,4,8,1,41,"A",3,6,1
5,4,8,2,41,"A",3,6,2
5,4,8,3,41,"A",3,6,3
5,4,8,4,41,"A",3,6,4
5,4,8,5,41,"A",3,6,5
5,4,8,6,41,"A",3,6,6
5,4,8,7,41,"A",3,6,7
5,4,8,8,41,"A",3,6,8
5,5,9,1,193,"B",2,3,1
5,5,9,2,193,"B",2,3,2
5,5,9,3,193,"B",2,3,3
5,5,9,4,193,"B",2,3,4
5,5,9,5,193,"B",2,3,5
5,5,9,6,193,"B",2,3,6
5,5,9,7,193,"B",2,3,7
5,5,9,8,193,"B",2,3,8
5,5,10,1,193,"B",2,4,1
5,5,10,2,193,"B",2,4,2
5,5,10,3,193,"B",2,4,3
5,5,10,4,193,"B",2,4,4
5,5,10,5,193,"B",2,4,5
5,5,10,6,193,"B",2,4,6
5,5,10,7,193,"B",2,4,7
5,5,10,8,193,"B",2,4,8
5,6,11,1,63,"A",2,3,1
5,6,11,2,63,"A",2,3,2
5,6,11,3,63,"A",2,3,3
5,6,11,4,63,"A",2,3,4
5,6,11,5,63,"A",2,3,5
5,6,11,6,63,"A",2,3,6
5,6,11,7,63,"A",2,3,7
5,6,11,8,63,"A",2,3,8
5,6,12,1,63,"A",2,4,1
5,6,12,2,63,"A",2,4,2
5,6,12,3,63,"A",2,4,3
5,6,12,4,63,"A",2,4,4
5,6,12,5,63,"A",2,4,5
5,6,12,6,63,"A",2,4,6
5,6,12,7,63,"A",2,4,7
5,6,12,8,63,"A",2,4,8
6,1,1,1,194,"B",2,3,1
6,1,1,2,194,"B",2,3,2
6,1,1,3,194,"B",2,3,3
6,1,1,4,194,"B",2,3,4
6,1,1,5,194,"B",2,3,5
6,1,1,6,194,"B",2,3,6
6,1,1,7,194,"B",2,3,7
6,1,1,8,194,"B",2,3,8
6,1,2,1,194,"B",2,4,1
6,1,2,2,194,"B",2,4,2
6,1,2,3,194,"B",2,4,3
6,1,2,4,194,"B",2,4,4
6,1,2,5,194,"B",2,4,5
6,1,2,6,194,"B",2,4,6
6,1,2,7,194,"B",2,4,7
6,1,2,8,194,"B",2,4,8
6,2,3,1,49,"A",4,7,1
6,2,3,2,49,"A",4,7,2
6,2,3,3,49,"A",4,7,3
6,2,3,4,49,"A",4,7,4
6,2,3,5,49,"A",4,7,5
6,2,3,6,49,"A",4,7,6
6,2,3,7,49,"A",4,7,7
6,2,3,8,49,"A",4,7,8
6,2,4,1,49,"A",4,8,1
6,2,4,2,49,"A",4,8,2
6,2,4,3,49,"A",4,8,3
6,2,4,4,49,"A",4,8,4
6,2,4,5,49,"A",4,8,5
6,2,4,6,49,"A",4,8,6
6,2,4,7,49,"A",4,8,7
6,2,4,8,49,"A",4,8,8
6,3,5,1,70,"A",4,7,1
6,3,5,2,70,"A",4,7,2
6,3,5,3,70,"A",4,7,3
6,3,5,4,70,"A",4,7,4
6,3,5,5,70,"A",4,7,5
6,3,5,6,70,"A",4,7,6
6,3,5,7,70,"A",4,7,7
6,3,5,8,70,"A",4,7,8
6,3,6,1,70,"A",4,8,1
6,3,6,2,70,"A",4,8,2
6,3,6,3,70,"A",4,8,3
6,3,6,4,70,"A",4,8,4
6,3,6,5,70,"A",4,8,5
6,3,6,6,70,"A",4,8,6
6,3,6,7,70,"A",4,8,7
6,3,6,8,70,"A",4,8,8
6,4,7,1,159,"B",4,7,1
6,4,7,2,159,"B",4,7,2
6,4,7,3,159,"B",4,7,3
6,4,7,4,159,"B",4,7,4
6,4,7,5,159,"B",4,7,5
6,4,7,6,159,"B",4,7,6
6,4,7,7,159,"B",4,7,7
6,4,7,8,159,"B",4,7,8
6,4,8,1,159,"B",4,8,1
6,4,8,2,159,"B",4,8,2
6,4,8,3,159,"B",4,8,3
6,4,8,4,159,"B",4,8,4
6,4,8,5,159,"B",4,8,5
6,4,8,6,159,"B",4,8,6
6,4,8,7,159,"B",4,8,7
6,4,8,8,159,"B",4,8,8
6,5,9,1,217,"B",1,1,1
6,5,9,2,217,"B",1,1,2
6,5,9,3,217,"B",1,1,3
6,5,9,4,217,"B",1,1,4
6,5,9,5,217,"B",1,1,5
6,5,9,6,217,"B",1,1,6
6,5,9,7,217,"B",1,1,7
6,5,9,8,217,"B",1,1,8
6,5,10,1,217,"B",1,2,1
6,5,10,2,217,"B",1,2,2
6,5,10,3,217,"B",1,2,3
6,5,10,4,217,"B",1,2,4
6,5,10,5,217,"B",1,2,5
6,5,10,6,217,"B",1,2,6
6,5,10,7,217,"B",1,2,7
6,5,10,8,217,"B",1,2,8
6,6,11,1,84,"A",4,7,1
6,6,11,2,84,"A",4,7,2
6,6,11,3,84,"A",4,7,3
6,6,11,4,84,"A",4,7,4
6,6,11,5,84,"A",4,7,5
6,6,11,6,84,"A",4,7,6
6,6,11,7,84,"A",4,7,7
6,6,11,8,84,"A",4,7,8
6,6,12,1,84,"A",4,8,1
6,6,12,2,84,"A",4,8,2
6,6,12,3,84,"A",4,8,3
6,6,12,4,84,"A",4,8,4
6,6,12,5,84,"A",4,8,5
6,6,12,6,84,"A",4,8,6
6,6,12,7,84,"A",4,8,7
6,6,12,8,84,"A",4,8,8
7,1,1,1,68,"A",5,9,1
7,1,1,2,68,"A",5,9,2
7,1,1,3,68,"A",5,9,3
7,1,1,4,68,"A",5,9,4
7,1,1,5,68,"A",5,9,5
7,1,1,6,68,"A",5,9,6
7,1,1,7,68,"A",5,9,7
7,1,1,8,68,"A",5,9,8
7,1,2,1,68,"A",5,10,1
7,1,2,2,68,"A",5,10,2
7,1,2,3,68,"A",5,10,3
7,1,2,4,68,"A",5,10,4
7,1,2,5,68,"A",5,10,5
7,1,2,6,68,"A",5,10,6
7,1,2,7,68,"A",5,10,7
7,1,2,8,68,"A",5,10,8
7,2,3,1,47,"A",5,9,1
7,2,3,2,47,"A",5,9,2
7,2,3,3,47,"A",5,9,3
7,2,3,4,47,"A",5,9,4
7,2,3,5,47,"A",5,9,5
7,2,3,6,47,"A",5,9,6
7,2,3,7,47,"A",5,9,7
7,2,3,8,47,"A",5,9,8
7,2,4,1,47,"A",5,10,1
7,2,4,2,47,"A",5,10,2
7,2,4,3,47,"A",5,10,3
7,2,4,4,47,"A",5,10,4
7,2,4,5,47,"A",5,10,5
7,2,4,6,47,"A",5,10,6
7,2,4,7,47,"A",5,10,7
7,2,4,8,47,"A",5,10,8
7,3,5,1,210,"B",4,7,1
7,3,5,2,210,"B",4,7,2
7,3,5,3,210,"B",4,7,3
7,3,5,4,210,"B",4,7,4
7,3,5,5,210,"B",4,7,5
7,3,5,6,210,"B",4,7,6
7,3,5,7,210,"B",4,7,7
7,3,5,8,210,"B",4,7,8
7,3,6,1,210,"B",4,8,1
7,3,6,2,210,"B",4,8,2
7,3,6,3,210,"B",4,8,3
7,3,6,4,210,"B",4,8,4
7,3,6,5,210,"B",4,8,5
7,3,6,6,210,"B",4,8,6
7,3,6,7,210,"B",4,8,7
7,3,6,8,210,"B",4,8,8
7,4,7,1,287,"B",1,1,1
7,4,7,2,287,"B",1,1,2
7,4,7,3,287,"B",1,1,3
7,4,7,4,287,"B",1,1,4
7,4,7,5,287,"B",1,1,5
7,4,7,6,287,"B",1,1,6
7,4,7,7,287,"B",1,1,7
7,4,7,8,287,"B",1,1,8
7,4,8,1,287,"B",1,2,1
7,4,8,2,287,"B",1,2,2
7,4,8,3,287,"B",1,2,3
7,4,8,4,287,"B",1,2,4
7,4,8,5,287,"B",1,2,5
7,4,8,6,287,"B",1,2,6
7,4,8,7,287,"B",1,2,7
7,4,8,8,287,"B",1,2,8
7,5,9,1,38,"A",2,3,1
7,5,9,2,38,"A",2,3,2
7,5,9,3,38,"A",2,3,3
7,5,9,4,38,"A",2,3,4
7,5,9,5,38,"A",2,3,5
7,5,9,6,38,"A",2,3,6
7,5,9,7,38,"A",2,3,7
7,5,9,8,38,"A",2,3,8
7,5,10,1,38,"A",2,4,1
7,5,10,2,38,"A",2,4,2
7,5,10,3,38,"A",2,4,3
7,5,10,4,38,"A",2,4,4
7,5,10,5,38,"A",2,4,5
7,5,10,6,38,"A",2,4,6
7,5,10,7,38,"A",2,4,7
7,5,10,8,38,"A",2,4,8
7,6,11,1,288,"B",2,3,1
7,6,11,2,288,"B",2,3,2
7,6,11,3,288,"B",2,3,3
7,6,11,4,288,"B",2,3,4
7,6,11,5,288,"B",2,3,5
7,6,11,6,288,"B",2,3,6
7,6,11,7,288,"B",2,3,7
7,6,11,8,288,"B",2,3,8
7,6,12,1,288,"B",2,4,1
7,6,12,2,288,"B",2,4,2
7,6,12,3,288,"B",2,4,3
7,6,12,4,288,"B",2,4,4
7,6,12,5,288,"B",2,4,5
7,6,12,6,288,"B",2,4,6
7,6,12,7,288,"B",2,4,7
7,6,12,8,288,"B",2,4,8
8,1,1,1,49,"A",3,5,1
8,1,1,2,49,"A",3,5,2
8,1,1,3,49,"A",3,5,3
8,1,1,4,49,"A",3,5,4
8,1,1,5,49,"A",3,5,5
8,1,1,6,49,"A",3,5,6
8,1,1,7,49,"A",3,5,7
8,1,1,8,49,"A",3,5,8
8,1,2,1,49,"A",3,6,1
8,1,2,2,49,"A",3,6,2
8,1,2,3,49,"A",3,6,3
8,1,2,4,49,"A",3,6,4
8,1,2,5,49,"A",3,6,5
8,1,2,6,49,"A",3,6,6
8,1,2,7,49,"A",3,6,7
8,1,2,8,49,"A",3,6,8
8,2,3,1,297,"B",4,7,1
8,2,3,2,297,"B",4,7,2
8,2,3,3,297,"B",4,7,3
8,2,3,4,297,"B",4,7,4
8,2,3,5,297,"B",4,7,5
8,2,3,6,297,"B",4,7,6
8,2,3,7,297,"B",4,7,7
8,2,3,8,297,"B",4,7,8
8,2,4,1,297,"B",4,8,1
8,2,4,2,297,"B",4,8,2
8,2,4,3,297,"B",4,8,3
8,2,4,4,297,"B",4,8,4
8,2,4,5,297,"B",4,8,5
8,2,4,6,297,"B",4,8,6
8,2,4,7,297,"B",4,8,7
8,2,4,8,297,"B",4,8,8
8,3,5,1,288,"B",3,5,1
8,3,5,2,288,"B",3,5,2
8,3,5,3,288,"B",3,5,3
8,3,5,4,288,"B",3,5,4
8,3,5,5,288,"B",3,5,5
8,3,5,6,288,"B",3,5,6
8,3,5,7,288,"B",3,5,7
8,3,5,8,288,"B",3,5,8
8,3,6,1,288,"B",3,6,1
8,3,6,2,288,"B",3,6,2
8,3,6,3,288,"B",3,6,3
8,3,6,4,288,"B",3,6,4
8,3,6,5,288,"B",3,6,5
8,3,6,6,288,"B",3,6,6
8,3,6,7,288,"B",3,6,7
8,3,6,8,288,"B",3,6,8
8,4,7,1,46,"A",2,3,1
8,4,7,2,46,"A",2,3,2
8,4,7,3,46,"A",2,3,3
8,4,7,4,46,"A",2,3,4
8,4,7,5,46,"A",2,3,5
8,4,7,6,46,"A",2,3,6
8,4,7,7,46,"A",2,3,7
8,4,7,8,46,"A",2,3,8
8,4,8,1,46,"A",2,4,1
8,4,8,2,46,"A",2,4,2
