"Day","Shift","Run","AssayRow","AssayCol","A450","A650"
1,"Day",2,"6","5",0.531,0.037
1,"Day",2,"7","5",0.576,0.036
1,"Day",2,"8","5",0.604,0.038
1,"Day",2,"1","6",0.541,0.039
1,"Day",2,"2","6",0.518,0.038
1,"Day",2,"3","6",0.584,0.04
1,"Day",2,"4","6",0.418,0.039
1,"Day",2,"5","6",0.473,0.037
1,"Day",2,"6","6",0.52,0.037
1,"Day",2,"7","6",0.597,0.038
1,"Day",2,"8","6",0.581,0.038
1,"Day",2,"1","7",0.517,0.039
1,"Day",2,"2","7",0.586,0.039
1,"Day",2,"3","7",0.561,0.04
1,"Day",2,"4","7",0.503,0.04
1,"Day",2,"5","7",0.486,0.04
1,"Day",2,"6","7",0.535,0.037
1,"Day",2,"7","7",0.592,0.039
1,"Day",2,"8","7",0.699,0.041
1,"Day",2,"1","8",0.535,0.039
1,"Day",2,"2","8",0.536,0.038
1,"Day",2,"3","8",0.533,0.04
1,"Day",2,"4","8",0.456,0.038
1,"Day",2,"5","8",0.494,0.04
1,"Day",2,"6","8",0.561,0.039
1,"Day",2,"7","8",0.54,0.036
1,"Day",2,"8","8",0.602,0.038
1,"Day",2,"1","9",0.545,0.041
1,"Day",2,"2","9",0.561,0.039
1,"Day",2,"3","9",0.563,0.04
1,"Day",2,"4","9",0.427,0.038
1,"Day",2,"5","9",0.487,0.04
1,"Day",2,"6","9",0.533,0.038
1,"Day",2,"7","9",0.503,0.037
1,"Day",2,"8","9",0.613,0.04
1,"Day",2,"1","10",0.496,0.038
1,"Day",2,"2","10",0.5,0.04
1,"Day",2,"3","10",0.547,0.041
1,"Day",2,"4","10",0.51,0.041
1,"Day",2,"5","10",0.502,0.038
1,"Day",2,"6","10",0.584,0.038
1,"Day",2,"7","10",0.57,0.037
1,"Day",2,"8","10",0.631,0.039
1,"Day",2,"1","11",0.52,0.041
1,"Day",2,"2","11",0.583,0.038
1,"Day",2,"3","11",0.569,0.042
1,"Day",2,"4","11",0.496,0.039
1,"Day",2,"5","11",0.471,0.041
1,"Day",2,"6","11",0.58,0.038
1,"Day",2,"7","11",0.526,0.037
1,"Day",2,"8","11",0.72,0.041
1,"Day",2,"1","12",0.526,0.04
1,"Day",2,"2","12",0.61,0.039
1,"Day",2,"3","12",0.601,0.041
1,"Day",2,"4","12",0.562,0.039
1,"Day",2,"5","12",0.613,0.041
1,"Day",2,"6","12",0.61,0.039
1,"Day",2,"7","12",0.567,0.036
1,"Day",2,"8","12",0.536,0.037
1,"Day",3,"1","1",0.55,0.038
1,"Day",3,"2","1",0.573,0.037
1,"Day",3,"3","1",0.513,0.039
1,"Day",3,"4","1",0.508,0.038
1,"Day",3,"5","1",0.521,0.038
1,"Day",3,"6","1",0.548,0.036
1,"Day",3,"7","1",0.578,0.036
1,"Day",3,"8","1",0.593,0.039
1,"Day",3,"1","2",0.534,0.039
1,"Day",3,"2","2",0.605,0.036
1,"Day",3,"3","2",0.51,0.038
1,"Day",3,"4","2",0.527,0.04
1,"Day",3,"5","2",0.537,0.038
1,"Day",3,"6","2",0.523,0.036
1,"Day",3,"7","2",0.617,0.038
1,"Day",3,"8","2",0.665,0.039
1,"Day",3,"1","3",0.496,0.038
1,"Day",3,"2","3",0.568,0.038
1,"Day",3,"3","3",0.566,0.038
1,"Day",3,"4","3",0.494,0.039
1,"Day",3,"5","3",0.461,0.038
1,"Day",3,"6","3",0.521,0.037
1,"Day",3,"7","3",0.494,0.035
1,"Day",3,"8","3",0.606,0.039
1,"Day",3,"1","4",0.559,0.039
1,"Day",3,"2","4",0.652,0.039
1,"Day",3,"3","4",0.521,0.037
1,"Day",3,"4","4",0.515,0.038
1,"Day",3,"5","4",0.505,0.038
1,"Day",3,"6","4",0.477,0.036
1,"Day",3,"7","4",0.623,0.038
1,"Day",3,"8","4",0.7,0.039
1,"Day",3,"1","5",0.55,0.039
1,"Day",3,"2","5",0.587,0.038
1,"Day",3,"3","5",0.573,0.039
1,"Day",3,"4","5",0.487,0.038
1,"Day",3,"5","5",0.516,0.038
1,"Day",3,"6","5",0.509,0.036
1,"Day",3,"7","5",0.527,0.035
1,"Day",3,"8","5",0.566,0.039
1,"Day",3,"1","6",0.557,0.038
1,"Day",3,"2","6",0.575,0.038
1,"Day",3,"3","6",0.515,0.038
1,"Day",3,"4","6",0.495,0.038
1,"Day",3,"5","6",0.519,0.038
1,"Day",3,"6","6",0.603,0.039
1,"Day",3,"7","6",0.604,0.039
1,"Day",3,"8","6",0.69,0.041
1,"Day",3,"1","7",0.595,0.04
1,"Day",3,"2","7",0.53,0.037
1,"Day",3,"3","7",0.545,0.039
1,"Day",3,"4","7",0.483,0.036
1,"Day",3,"5","7",0.495,0.039
1,"Day",3,"6","7",0.484,0.037
1,"Day",3,"7","7",0.596,0.042
1,"Day",3,"8","7",0.585,0.038
1,"Day",3,"1","8",0.572,0.04
1,"Day",3,"2","8",0.544,0.036
1,"Day",3,"3","8",0.562,0.039
1,"Day",3,"4","8",0.498,0.039
1,"Day",3,"5","8",0.49,0.039
1,"Day",3,"6","8",0.488,0.036
1,"Day",3,"7","8",0.514,0.037
1,"Day",3,"8","8",0.578,0.039
1,"Day",3,"1","9",0.569,0.041
1,"Day",3,"2","9",0.508,0.037
1,"Day",3,"3","9",0.556,0.04
1,"Day",3,"4","9",0.49,0.036
1,"Day",3,"5","9",0.497,0.04
1,"Day",3,"6","9",0.515,0.039
1,"Day",3,"7","9",0.514,0.037
1,"Day",3,"8","9",0.603,0.04
1,"Day",3,"1","10",0.514,0.041
1,"Day",3,"2","10",0.543,0.038
1,"Day",3,"3","10",0.553,0.041
1,"Day",3,"4","10",0.465,0.04
1,"Day",3,"5","10",0.538,0.041
1,"Day",3,"6","10",0.489,0.04
1,"Day",3,"7","10",0.574,0.04
1,"Day",3,"8","10",0.654,0.042
1,"Day",3,"1","11",0.592,0.041
1,"Day",3,"2","11",0.498,0.036
1,"Day",3,"3","11",0.524,0.04
1,"Day",3,"4","11",0.479,0.038
1,"Day",3,"5","11",0.491,0.04
1,"Day",3,"6","11",0.536,0.038
1,"Day",3,"7","11",0.531,0.037
1,"Day",3,"8","11",0.656,0.04
1,"Day",3,"1","12",0.424,0.039
1,"Day",3,"2","12",0.488,0.036
1,"Day",3,"3","12",0.543,0.039
1,"Day",3,"4","12",0.468,0.038
1,"Day",3,"5","12",0.498,0.039
1,"Day",3,"6","12",0.529,0.038
1,"Day",3,"7","12",0.544,0.036
1,"Day",3,"8","12",0.448,0.036
1,"Day",4,"1","1",0.429,0.038
1,"Day",4,"2","1",0.436,0.035
1,"Day",4,"3","1",0.451,0.037
1,"Day",4,"4","1",0.428,0.037
1,"Day",4,"5","1",0.472,0.039
1,"Day",4,"6","1",0.476,0.035
1,"Day",4,"7","1",0.497,0.036
1,"Day",4,"8","1",0.485,0.036
1,"Day",4,"1","2",0.424,0.038
1,"Day",4,"2","2",0.422,0.035
1,"Day",4,"3","2",0.425,0.037
1,"Day",4,"4","2",0.567,0.04
1,"Day",4,"5","2",0.497,0.039
1,"Day",4,"6","2",0.453,0.035
1,"Day",4,"7","2",0.476,0.039
1,"Day",4,"8","2",0.464,0.037
1,"Day",4,"1","3",0.467,0.037
1,"Day",4,"2","3",0.447,0.034
1,"Day",4,"3","3",0.457,0.035
1,"Day",4,"4","3",0.449,0.037
1,"Day",4,"5","3",0.525,0.039
1,"Day",4,"6","3",0.513,0.036
1,"Day",4,"7","3",0.441,0.035
1,"Day",4,"8","3",0.51,0.042
1,"Day",4,"1","4",0.417,0.037
1,"Day",4,"2","4",0.44,0.034
1,"Day",4,"3","4",0.461,0.037
1,"Day",4,"4","4",0.486,0.038
1,"Day",4,"5","4",0.443,0.037
1,"Day",4,"6","4",0.513,0.113
1,"Day",4,"7","4",0.451,0.047
1,"Day",4,"8","4",0.516,0.106
1,"Day",4,"1","5",0.515,0.038
1,"Day",4,"2","5",0.483,0.035
1,"Day",4,"3","5",0.514,0.039
1,"Day",4,"4","5",0.446,0.039
1,"Day",4,"5","5",0.498,0.039
1,"Day",4,"6","5",0.53,0.043
1,"Day",4,"7","5",0.449,0.056
1,"Day",4,"8","5",0.454,0.038
1,"Day",4,"1","6",0.447,0.037
1,"Day",4,"2","6",0.469,0.036
1,"Day",4,"3","6",0.476,0.037
1,"Day",4,"4","6",0.423,0.038
1,"Day",4,"5","6",0.499,0.08
1,"Day",4,"6","6",0.46,0.066
1,"Day",4,"7","6",0.435,0.045
1,"Day",4,"8","6",0.477,0.037
1,"Day",4,"1","7",0.497,0.039
1,"Day",4,"2","7",0.557,0.036
1,"Day",4,"3","7",0.628,0.131
1,"Day",4,"4","7",0.481,0.063
1,"Day",4,"5","7",0.555,0.121
1,"Day",4,"6","7",0.458,0.043
1,"Day",4,"7","7",0.48,0.039
1,"Day",4,"8","7",0.536,0.04
1,"Day",4,"1","8",0.487,0.038
1,"Day",4,"2","8",0.467,0.037
1,"Day",4,"3","8",0.487,0.067
1,"Day",4,"4","8",0.448,0.041
1,"Day",4,"5","8",0.502,0.052
1,"Day",4,"6","8",0.474,0.037
1,"Day",4,"7","8",0.448,0.036
1,"Day",4,"8","8",0.617,0.04
1,"Day",4,"1","9",0.505,0.04
1,"Day",4,"2","9",0.546,0.036
1,"Day",4,"3","9",0.539,0.04
1,"Day",4,"4","9",0.42,0.037
1,"Day",4,"5","9",0.448,0.054
1,"Day",4,"6","9",0.49,0.065
1,"Day",4,"7","9",0.421,0.037
1,"Day",4,"8","9",0.484,0.037
1,"Day",4,"1","10",0.516,0.039
1,"Day",4,"2","10",0.479,0.035
1,"Day",4,"3","10",0.419,0.037
1,"Day",4,"4","10",0.431,0.037
1,"Day",4,"5","10",0.457,0.049
1,"Day",4,"6","10",0.446,0.037
1,"Day",4,"7","10",0.437,0.036
1,"Day",4,"8","10",0.59,0.039
1,"Day",4,"1","11",0.469,0.039
1,"Day",4,"2","11",0.473,0.035
1,"Day",4,"3","11",0.453,0.047
1,"Day",4,"4","11",0.406,0.04
1,"Day",4,"5","11",0.424,0.041
1,"Day",4,"6","11",0.452,0.038
1,"Day",4,"7","11",0.46,0.035
1,"Day",4,"8","11",0.462,0.039
1,"Day",4,"1","12",0.464,0.042
1,"Day",4,"2","12",0.518,0.036
1,"Day",4,"3","12",0.441,0.037
1,"Day",4,"4","12",0.437,0.039
1,"Day",4,"5","12",0.431,0.037
1,"Day",4,"6","12",0.472,0.036
1,"Day",4,"7","12",0.499,0.035
1,"Day",4,"8","12",0.487,0.039
1,"Day",5,"1","1",0.514,0.039
1,"Day",5,"2","1",0.567,0.038
1,"Day",5,"3","1",0.552,0.038
1,"Day",5,"4","1",0.525,0.039
1,"Day",5,"5","1",0.537,0.039
1,"Day",5,"6","1",0.612,0.037
1,"Day",5,"7","1",0.662,0.039
1,"Day",5,"8","1",0.724,0.04
1,"Day",5,"1","2",0.499,0.038
1,"Day",5,"2","2",0.581,0.037
1,"Day",5,"3","2",0.565,0.038
1,"Day",5,"4","2",0.571,0.04
1,"Day",5,"5","2",0.576,0.038
1,"Day",5,"6","2",0.593,0.037
1,"Day",5,"7","2",0.57,0.037
1,"Day",5,"8","2",0.658,0.04
1,"Day",5,"1","3",0.636,0.043
1,"Day",5,"2","3",0.618,0.038
1,"Day",5,"3","3",0.659,0.041
1,"Day",5,"4","3",0.486,0.037
1,"Day",5,"5","3",0.644,0.042
1,"Day",5,"6","3",0.64,0.041
1,"Day",5,"7","3",0.675,0.04
1,"Day",5,"8","3",0.715,0.039
1,"Day",5,"1","4",0.622,0.042
1,"Day",5,"2","4",0.657,0.04
1,"Day",5,"3","4",0.949,0.046
1,"Day",5,"4","4",0.635,0.041
1,"Day",5,"5","4",0.577,0.041
1,"Day",5,"6","4",0.581,0.037
1,"Day",5,"7","4",0.552,0.038
1,"Day",5,"8","4",0.669,0.039
1,"Day",5,"1","5",0.678,0.041
1,"Day",5,"2","5",0.601,0.038
1,"Day",5,"3","5",0.638,0.041
1,"Day",5,"4","5",0.559,0.04
1,"Day",5,"5","5",0.602,0.039
1,"Day",5,"6","5",0.64,0.037
1,"Day",5,"7","5",0.706,0.038
1,"Day",5,"8","5",0.732,0.04
1,"Day",5,"1","6",0.647,0.04
1,"Day",5,"2","6",0.592,0.038
1,"Day",5,"3","6",0.623,0.038
1,"Day",5,"4","6",0.606,0.039
1,"Day",5,"5","6",0.61,0.038
1,"Day",5,"6","6",0.596,0.038
1,"Day",5,"7","6",0.605,0.038
1,"Day",5,"8","6",0.67,0.04
1,"Day",5,"1","7",0.623,0.04
1,"Day",5,"2","7",0.753,0.041
1,"Day",5,"3","7",0.587,0.039
1,"Day",5,"4","7",0.599,0.04
1,"Day",5,"5","7",0.616,0.04
1,"Day",5,"6","7",0.624,0.039
1,"Day",5,"7","7",0.637,0.038
1,"Day",5,"8","7",0.655,0.039
1,"Day",5,"1","8",0.768,0.043
1,"Day",5,"2","8",0.729,0.04
1,"Day",5,"3","8",0.626,0.041
1,"Day",5,"4","8",0.594,0.041
1,"Day",5,"5","8",0.618,0.041
1,"Day",5,"6","8",0.609,0.038
1,"Day",5,"7","8",0.635,0.038
1,"Day",5,"8","8",0.689,0.039
1,"Day",5,"1","9",0.699,0.042
1,"Day",5,"2","9",0.721,0.042
1,"Day",5,"3","9",0.668,0.042
1,"Day",5,"4","9",0.605,0.041
1,"Day",5,"5","9",0.726,0.042
1,"Day",5,"6","9",0.648,0.038
1,"Day",5,"7","9",0.562,0.037
1,"Day",5,"8","9",0.648,0.041
1,"Day",5,"1","10",0.8,0.045
1,"Day",5,"2","10",0.682,0.04
1,"Day",5,"3","10",0.583,0.042
1,"Day",5,"4","10",0.575,0.04
1,"Day",5,"5","10",0.587,0.041
1,"Day",5,"6","10",0.624,0.038
1,"Day",5,"7","10",0.626,0.04
1,"Day",5,"8","10",0.754,0.043
1,"Day",5,"1","11",0.649,0.041
1,"Day",5,"2","11",0.668,0.038
1,"Day",5,"3","11",0.63,0.042
1,"Day",5,"4","11",0.574,0.039
1,"Day",5,"5","11",0.617,0.042
1,"Day",5,"6","11",0.696,0.04
1,"Day",5,"7","11",0.645,0.038
1,"Day",5,"8","11",0.767,0.041
1,"Day",5,"1","12",0.73,0.042
1,"Day",5,"2","12",0.702,0.04
1,"Day",5,"3","12",0.637,0.041
1,"Day",5,"4","12",0.66,0.042
1,"Day",5,"5","12",0.661,0.041
1,"Day",5,"6","12",0.682,0.04
1,"Day",5,"7","12",0.67,0.039
1,"Day",5,"8","12",0.641,0.04
1,"Day",6,"1","1",0.565,0.039
1,"Day",6,"2","1",0.537,0.037
1,"Day",6,"3","1",0.558,0.037
1,"Day",6,"4","1",0.594,0.04
1,"Day",6,"5","1",0.627,0.041
1,"Day",6,"6","1",0.585,0.037
1,"Day",6,"7","1",0.596,0.037
1,"Day",6,"8","1",0.564,0.037
1,"Day",6,"1","2",0.511,0.039
1,"Day",6,"2","2",0.528,0.037
1,"Day",6,"3","2",0.553,0.038
1,"Day",6,"4","2",0.536,0.04
1,"Day",6,"5","2",0.612,0.039
1,"Day",6,"6","2",0.572,0.036
1,"Day",6,"7","2",0.553,0.036
1,"Day",6,"8","2",0.536,0.037
1,"Day",6,"1","3",0.548,0.04
1,"Day",6,"2","3",0.509,0.037
1,"Day",6,"3","3",0.544,0.038
1,"Day",6,"4","3",0.531,0.038
1,"Day",6,"5","3",0.551,0.038
1,"Day",6,"6","3",0.494,0.035
1,"Day",6,"7","3",0.525,0.035
1,"Day",6,"8","3",0.487,0.036
1,"Day",6,"1","4",0.578,0.04
1,"Day",6,"2","4",0.573,0.039
1,"Day",6,"3","4",0.633,0.04
1,"Day",6,"4","4",0.534,0.04
1,"Day",6,"5","4",0.607,0.04
1,"Day",6,"6","4",0.55,0.036
1,"Day",6,"7","4",0.542,0.038
1,"Day",6,"8","4",0.466,0.037
1,"Day",6,"1","5",0.598,0.04
1,"Day",6,"2","5",0.56,0.038
1,"Day",6,"3","5",0.621,0.041
1,"Day",6,"4","5",0.549,0.038
1,"Day",6,"5","5",0.522,0.038
1,"Day",6,"6","5",0.529,0.035
1,"Day",6,"7","5",0.514,0.036
1,"Day",6,"8","5",0.467,0.034
1,"Day",6,"1","6",0.623,0.04
1,"Day",6,"2","6",0.593,0.039
1,"Day",6,"3","6",0.552,0.039
1,"Day",6,"4","6",0.495,0.04
1,"Day",6,"5","6",0.576,0.038
1,"Day",6,"6","6",0.558,0.038
1,"Day",6,"7","6",0.557,0.038
1,"Day",6,"8","6",0.51,0.036
1,"Day",6,"1","7",0.597,0.04
1,"Day",6,"2","7",0.583,0.038
1,"Day",6,"3","7",0.63,0.041
1,"Day",6,"4","7",0.581,0.039
1,"Day",6,"5","7",0.57,0.039
1,"Day",6,"6","7",0.544,0.038
1,"Day",6,"7","7",0.515,0.036
1,"Day",6,"8","7",0.524,0.038
1,"Day",6,"1","8",0.576,0.04
1,"Day",6,"2","8",0.583,0.038
1,"Day",6,"3","8",0.553,0.039
1,"Day",6,"4","8",0.561,0.04
1,"Day",6,"5","8",0.562,0.04
1,"Day",6,"6","8",0.553,0.037
1,"Day",6,"7","8",0.567,0.037
1,"Day",6,"8","8",0.555,0.038
1,"Day",6,"1","9",0.572,0.042
1,"Day",6,"2","9",0.55,0.038
1,"Day",6,"3","9",0.609,0.042
1,"Day",6,"4","9",0.525,0.04
1,"Day",6,"5","9",0.538,0.041
1,"Day",6,"6","9",0.544,0.038
1,"Day",6,"7","9",0.514,0.036
1,"Day",6,"8","9",0.545,0.04
1,"Day",6,"1","10",0.562,0.041
1,"Day",6,"2","10",0.567,0.039
1,"Day",6,"3","10",0.498,0.041
1,"Day",6,"4","10",0.53,0.039
1,"Day",6,"5","10",0.521,0.04
1,"Day",6,"6","10",0.522,0.039
1,"Day",6,"7","10",0.509,0.036
1,"Day",6,"8","10",0.596,0.041
1,"Day",6,"1","11",0.531,0.04
1,"Day",6,"2","11",0.518,0.037
1,"Day",6,"3","11",0.559,0.041
1,"Day",6,"4","11",0.495,0.038
1,"Day",6,"5","11",0.543,0.04
1,"Day",6,"6","11",0.57,0.038
1,"Day",6,"7","11",0.534,0.037
1,"Day",6,"8","11",0.56,0.037
1,"Day",6,"1","12",0.553,0.041
1,"Day",6,"2","12",0.593,0.039
1,"Day",6,"3","12",0.526,0.04
1,"Day",6,"4","12",0.58,0.041
1,"Day",6,"5","12",0.596,0.04
1,"Day",6,"6","12",0.556,0.039
1,"Day",6,"7","12",0.579,0.037
1,"Day",6,"8","12",0.592,0.04
1,"Day",7,"1","1",0.529,0.038
1,"Day",7,"2","1",0.461,0.036
1,"Day",7,"3","1",0.712,0.041
1,"Day",7,"4","1",0.491,0.037
1,"Day",7,"5","1",0.507,0.038
1,"Day",7,"6","1",0.476,0.035
1,"Day",7,"7","1",0.528,0.037
1,"Day",7,"8","1",0.49,0.036
1,"Day",7,"1","2",0.498,0.038
1,"Day",7,"2","2",0.54,0.037
1,"Day",7,"3","2",0.492,0.037
1,"Day",7,"4","2",0.431,0.037
1,"Day",7,"5","2",0.418,0.037
1,"Day",7,"6","2",0.452,0.036
1,"Day",7,"7","2",0.448,0.033
1,"Day",7,"8","2",0.591,0.039
1,"Day",7,"1","3",0.6,0.038
1,"Day",7,"2","3",0.496,0.036
1,"Day",7,"3","3",0.469,0.036
1,"Day",7,"4","3",0.493,0.039
1,"Day",7,"5","3",0.458,0.038
1,"Day",7,"6","3",0.431,0.036
1,"Day",7,"7","3",0.419,0.034
1,"Day",7,"8","3",0.57,0.039
1,"Day",7,"1","4",0.514,0.038
1,"Day",7,"2","4",0.537,0.037
1,"Day",7,"3","4",0.497,0.037
1,"Day",7,"4","4",0.48,0.047
1,"Day",7,"5","4",0.442,0.039
1,"Day",7,"6","4",0.425,0.034
1,"Day",7,"7","4",0.492,0.036
1,"Day",7,"8","4",0.586,0.038
1,"Day",7,"1","5",0.541,0.038
1,"Day",7,"2","5",0.518,0.037
1,"Day",7,"3","5",0.509,0.038
1,"Day",7,"4","5",0.475,0.038
1,"Day",7,"5","5",0.459,0.037
1,"Day",7,"6","5",0.415,0.036
1,"Day",7,"7","5",0.434,0.034
1,"Day",7,"8","5",0.44,0.035
1,"Day",7,"1","6",0.471,0.037
1,"Day",7,"2","6",0.524,0.038
1,"Day",7,"3","6",0.492,0.038
1,"Day",7,"4","6",0.417,0.037
1,"Day",7,"5","6",0.443,0.037
1,"Day",7,"6","6",0.49,0.035
1,"Day",7,"7","6",0.479,0.036
1,"Day",7,"8","6",0.585,0.039
1,"Day",7,"1","7",0.495,0.038
1,"Day",7,"2","7",0.451,0.032
1,"Day",7,"3","7",0.473,0.038
1,"Day",7,"4","7",0.501,0.037
1,"Day",7,"5","7",0.452,0.036
1,"Day",7,"6","7",0.451,0.035
1,"Day",7,"7","7",0.425,0.033
1,"Day",7,"8","7",0.443,0.037
1,"Day",7,"1","8",0.572,0.039
1,"Day",7,"2","8",0.493,0.036
1,"Day",7,"3","8",0.517,0.038
1,"Day",7,"4","8",0.426,0.038
1,"Day",7,"5","8",0.451,0.038
1,"Day",7,"6","8",0.461,0.034
1,"Day",7,"7","8",0.468,0.035
1,"Day",7,"8","8",0.472,0.038
1,"Day",7,"1","9",0.599,0.041
1,"Day",7,"2","9",0.471,0.036
1,"Day",7,"3","9",0.512,0.039
1,"Day",7,"4","9",0.443,0.037
1,"Day",7,"5","9",0.501,0.037
1,"Day",7,"6","9",0.517,0.037
1,"Day",7,"7","9",0.521,0.036
1,"Day",7,"8","9",0.52,0.038
1,"Day",7,"1","10",0.557,0.038
1,"Day",7,"2","10",0.498,0.036
1,"Day",7,"3","10",0.478,0.04
1,"Day",7,"4","10",0.496,0.038
1,"Day",7,"5","10",0.53,0.039
1,"Day",7,"6","10",0.603,0.044
1,"Day",7,"7","10",0.597,0.038
1,"Day",7,"8","10",0.544,0.038
1,"Day",7,"1","11",0.537,0.04
1,"Day",7,"2","11",0.474,0.034
1,"Day",7,"3","11",0.492,0.039
1,"Day",7,"4","11",0.489,0.036
1,"Day",7,"5","11",0.483,0.037
1,"Day",7,"6","11",0.566,0.038
1,"Day",7,"7","11",0.478,0.036
